school,city,state,sport,role,coach_name,public_professional_email,ad_name,ad_email,source_url,last_observed
West Fargo Sheyenne High School,West Fargo,ND,,Superintendent,,,Beth Slette,,https://ndhsaa.com/schools/1045/west-fargo-sheyenne,2026-09-19
West Fargo Sheyenne High School,West Fargo,ND,,Superintendent,,,Vincent Williams,,https://ndhsaa.com/schools/1045/west-fargo-sheyenne,2026-09-19
West Fargo Sheyenne High School,West Fargo,ND,,Principal,,,Ryan Salisbury,,https://ndhsaa.com/schools/1045/west-fargo-sheyenne,2026-09-19
West Fargo Sheyenne High School,West Fargo,ND,,Principal,,,Ryan Bodell,,https://ndhsaa.com/schools/1045/west-fargo-sheyenne,2026-09-19
West Fargo Sheyenne High School,West Fargo,ND,,Athletic Director,,,Logan Midthun,,https://ndhsaa.com/schools/1045/west-fargo-sheyenne,2026-09-19
West Fargo Sheyenne High School,West Fargo,ND,,Athletic Director,,,James Moe,,https://ndhsaa.com/schools/1045/west-fargo-sheyenne,2026-09-19
West Fargo Sheyenne High School,West Fargo,ND,,Athletic Director,,,Corissa Kolesar,,https://ndhsaa.com/schools/1045/west-fargo-sheyenne,2026-09-19
West Fargo Sheyenne High School,West Fargo,ND,,Activities Director,,,Logan Midthun,,https://ndhsaa.com/schools/1045/west-fargo-sheyenne,2026-09-19
West Fargo Sheyenne High School,West Fargo,ND,,Activities Director,,,James Moe,,https://ndhsaa.com/schools/1045/west-fargo-sheyenne,2026-09-19
West Fargo Sheyenne High School,West Fargo,ND,,Activities Director,,,Corissa Kolesar,,https://ndhsaa.com/schools/1045/west-fargo-sheyenne,2026-09-19
West Fargo Sheyenne High School,West Fargo,ND,,Business Manager,,,Levi Bachmeier,,https://ndhsaa.com/schools/1045/west-fargo-sheyenne,2026-09-19
West Fargo Sheyenne High School,West Fargo,ND,,Tech Director,,,Ed Mitchell,,https://ndhsaa.com/schools/1045/west-fargo-sheyenne,2026-09-19
Bismarck Legacy High School,Bismarck,ND,,Superintendent,,,Dr. Jeff Fastnacht,,https://ndhsaa.com/schools/1131/bismarck-legacy,2026-09-19
Bismarck Legacy High School,Bismarck,ND,,Principal,,,Thomas Schmidt,,https://ndhsaa.com/schools/1131/bismarck-legacy,2026-09-19
Bismarck Legacy High School,Bismarck,ND,,Principal,,,Ryan Riehl,,https://ndhsaa.com/schools/1131/bismarck-legacy,2026-09-19
Bismarck Legacy High School,Bismarck,ND,,Athletic Director,,,Brett Mitchell,,https://ndhsaa.com/schools/1131/bismarck-legacy,2026-09-19
Bismarck Legacy High School,Bismarck,ND,,Athletic Director,,,Dave Zittleman,,https://ndhsaa.com/schools/1131/bismarck-legacy,2026-09-19
Bismarck Legacy High School,Bismarck,ND,,Activities Director,,,Dave Zittleman,,https://ndhsaa.com/schools/1131/bismarck-legacy,2026-09-19
Bismarck Legacy High School,Bismarck,ND,,Business Manager,,,Darin Scherr,,https://ndhsaa.com/schools/1131/bismarck-legacy,2026-09-19
West Fargo Horace High School,,ND,,Superintendent,,,Beth Slette,,https://ndhsaa.com/schools/1281/west-fargo-horace,2026-09-19
West Fargo Horace High School,,ND,,Athletic Director,,,Logan Midthun,,https://ndhsaa.com/schools/1281/west-fargo-horace,2026-09-19
West Fargo Horace High School,,ND,,Athletic Director,,,Aaron La Deaux,,https://ndhsaa.com/schools/1281/west-fargo-horace,2026-09-19
West Fargo Horace High School,,ND,,Athletic Director,,,Elizabeth Opp,,https://ndhsaa.com/schools/1281/west-fargo-horace,2026-09-19
West Fargo Horace High School,,ND,,Athletic Director,,,Elizabeth Opp,,https://ndhsaa.com/schools/1281/west-fargo-horace,2026-09-19
West Fargo Horace High School,,ND,,Activities Director,,,Aaron La Deaux,,https://ndhsaa.com/schools/1281/west-fargo-horace,2026-09-19
West Fargo Horace High School,,ND,,Activities Director,,,Elizabeth Opp,,https://ndhsaa.com/schools/1281/west-fargo-horace,2026-09-19
Minot North High School,Minot,ND,,Athletic Director,,,Matt Ruhland,,https://ndhsaa.com/schools/1307/minot-north,2026-09-19
Fargo North High School,Fargo,ND,,Superintendent,,,Cory Steiner,,https://ndhsaa.com/schools/24/fargo-north,2026-09-19
Fargo North High School,Fargo,ND,,Principal,,,Travis Christensen,,https://ndhsaa.com/schools/24/fargo-north,2026-09-19
Fargo North High School,Fargo,ND,,Athletic Director,,,Todd Olson,,https://ndhsaa.com/schools/24/fargo-north,2026-09-19
Fargo North High School,Fargo,ND,,Athletic Director,,,Daniel Shultis,,https://ndhsaa.com/schools/24/fargo-north,2026-09-19
Fargo North High School,Fargo,ND,,Athletic Director,,,Angela Bartsh,,https://ndhsaa.com/schools/24/fargo-north,2026-09-19
Fargo North High School,Fargo,ND,,Activities Director,,,Todd Olson,,https://ndhsaa.com/schools/24/fargo-north,2026-09-19
Grafton High School,Grafton,ND,,Superintendent,,,Darren Albrecht,,https://ndhsaa.com/schools/31/grafton,2026-09-19
Grafton High School,Grafton,ND,,Principal,,,Randy Rice,,https://ndhsaa.com/schools/31/grafton,2026-09-19
Grafton High School,Grafton,ND,,Principal,,,Kenneth Kachena,,https://ndhsaa.com/schools/31/grafton,2026-09-19
Grafton High School,Grafton,ND,,Athletic Director,,,Kenneth Kachena,,https://ndhsaa.com/schools/31/grafton,2026-09-19
Grafton High School,Grafton,ND,,Tech Director,,,Cameron Lentz,,https://ndhsaa.com/schools/31/grafton,2026-09-19
Grafton High School,Grafton,ND,,Tech Director,,,Peter Thingelstad,,https://ndhsaa.com/schools/31/grafton,2026-09-19
